agency_id,agency_name,agency_url,agency_timezone
"mvv-01","S-Bahn München","https://www.mvv-auskunft.de","Europe/Berlin"
"mvv-1011","Regionalverkehr Oberbayern","https://www.mvv-auskunft.de","Europe/Berlin"
"mvv-1080","Gemeindewerke Garmisch-Partenkirchen KU AÖR","https://www.mvv-auskunft.de","Europe/Berlin"
"mvv-1035","Stadtbus Kolbermoor","https://www.mvv-auskunft.de","Europe/Berlin"
"mvv-1037","Hollinger","https://www.mvv-auskunft.de","Europe/Berlin"
"mvv-1031","Steinbrecher Omnibusbetrieb","https://www.mvv-auskunft.de","Europe/Berlin"
"mvv-1044","Brandstätter Omnibusunternehmen","https://www.mvv-auskunft.de","Europe/Berlin"
"mvv-1082","Verkehrsgesellschaft Rosenheim","https://www.mvv-auskunft.de","Europe/Berlin"
"mvv-1036","Hövels GmbH & Co KG","https://www.mvv-auskunft.de","Europe/Berlin"
"mvv-1042","Hilger Reisen GmbH & Co. KG","https://www.mvv-auskunft.de","Europe/Berlin"
"mvv-1604","Regionalbus Ostbayern","https://www.mvv-auskunft.de","Europe/Berlin"
"mvv-1048","Mückenhausen Busunternehmen GmbH","https://www.mvv-auskunft.de","Europe/Berlin"
"mvv-1026","Brodschelm Verkehrsbetrieb GmbH & Co. KG","https://www.mvv-auskunft.de","Europe/Berlin"
"mvv-1057","Omnibusse Richard Petz GmbH","https://www.mvv-auskunft.de","Europe/Berlin"
"mvv-1064","Verkehrsunternehmen Speckner GmbH & Co. KG","https://www.mvv-auskunft.de","Europe/Berlin"
"mvv-1151","Hans Maier / Regionalbus Ostbayern","https://www.mvv-auskunft.de","Europe/Berlin"
"mvv-1071","Busunternehmen Mühlhofer","https://www.mvv-auskunft.de","Europe/Berlin"
"mvv-1075","Hinmüller Reisen GmbH","https://www.mvv-auskunft.de","Europe/Berlin"
"mvv-1027","Josef Kalb GmbH","https://www.mvv-auskunft.de","Europe/Berlin"
"mvv-1711","Regionalverkehr Oberbayern / Josef Kalb","https://www.mvv-auskunft.de","Europe/Berlin"
