"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_url","ticketing_deep_link_id"
"mvv-1-001E-1","mvv-01","S1","Neufahrn - Flughafen/Airport Schienenersatzverkehr S1","3","005262","FFFFFF","","MVV_ticketing"
"mvv-1-002E-1","mvv-01","S2","Schienenersatzverkehr S2 Markt Schwaben - Erding","3","005262","FFFFFF","","MVV_ticketing"
"mvv-1-003E-1","mvv-01","S3","Schienenersatzverkehr S3 Mammendorf - Maisach","3","005262","FFFFFF","","MVV_ticketing"
"mvv-1-004E-1","mvv-01","S4","Schienenersatzverkehr S4 Buchenau - Pasing","3","005262","FFFFFF","","MVV_ticketing"
"mvv-1-005E-1","mvv-01","S5","Schienenersatzverkehr S5 Ostbahnhof - Kreuzstraße","3","005262","FFFFFF","","MVV_ticketing"
"mvv-1-006E-1","mvv-01","S6","Schienenersatzverkehr S6 Tutzing - Gauting","3","005262","FFFFFF","","MVV_ticketing"
"mvv-1-007E-1","mvv-01","S7","Schienenersatzverkehr S7 Höllriegelskreuth - Harras","3","005262","FFFFFF","","MVV_ticketing"
"mvv-1-008E-1","mvv-01","S8","Schienenersatzverkehr S8 Ismaning - Flughafen/Airport","3","005262","FFFFFF","","MVV_ticketing"
"mvv-1-999E-1","mvv-01","S","Schienenersatzverkehr Stammstrecke Trudering - Ostbahnhof","3","005262","FFFFFF","","MVV_ticketing"
"mvv-12-276-1","mvv-1011","276","Bad Aibling - Götting - Bruckmühl - Feldkirchen - Aying","3","005262","FFFFFF","https://efa.mvv-muenchen.de/ttb2/mvv_12276___H_s26_1.pdf","MVV_ticketing"
"mvv-12-277-1","mvv-1011","277","Bad Aibling - Heufeld - Bruckmühl - Feldkirchen - Aying","3","005262","FFFFFF","https://efa.mvv-muenchen.de/ttb2/mvv_12277___H_s26_1.pdf","MVV_ticketing"
"mvv-12-278-1","mvv-1011","278","(Beyharting -) Großhöhenrain - Ginsham - Bruckmühl","3","005262","FFFFFF","https://efa.mvv-muenchen.de/ttb2/mvv_12278___H_s26_1.pdf","MVV_ticketing"
"mvv-12-316-1","mvv-1011","316","Oberammergau - Ettal - Graswang - Schloss Linderhof","3","005262","FFFFFF","https://efa.mvv-muenchen.de/ttb2/mvv_12316___H_s26_1.pdf","MVV_ticketing"
"mvv-12-318-1","mvv-1011","318","Grafenaschau - Grafenaschau Bf - Seeleiten-Berggeist - Murnau","3","005262","FFFFFF","https://efa.mvv-muenchen.de/ttb2/mvv_12318___H_s26_1.pdf","MVV_ticketing"
"mvv-12-319-1","mvv-1011","319","Oberau - Ettal - Schloss Linderhof - Parkplatz Stock - Ammerwald - Plansee - Reutte in Tirol","3","005262","FFFFFF","https://efa.mvv-muenchen.de/ttb2/mvv_12319___H_s26_1.pdf","MVV_ticketing"
"mvv-12-321-1","mvv-1080","321","OrtsBus Garmisch-Partenkirchen Klinikum - Bahnhof - Marienplatz - Äußere Maximiliansstraße","3","005262","FFFFFF","https://efa.mvv-muenchen.de/ttb2/mvv_12321___H_s26_1.pdf","MVV_ticketing"
"mvv-12-322-1","mvv-1080","322","OrtsBus Garmisch-Partenkirchen Klinikum - Bahnhof - Marienplatz - Äuß. Maximiliansstr. - Kreuzeck-/Alpspitzbahn","3","005262","FFFFFF","https://efa.mvv-muenchen.de/ttb2/mvv_12322___H_s26_1.pdf","MVV_ticketing"
"mvv-12-323-1","mvv-1011","323","EibseeBus Garmisch-Partenkirchen - Untergrainau - Hammersbach - Grainau - Eibsee","3","005262","FFFFFF","https://efa.mvv-muenchen.de/ttb2/mvv_12323___H_s26_1.pdf","MVV_ticketing"
"mvv-12-324-1","mvv-1080","324","Farchant - Wankbahn - Sebastiansk. - Bahnhof - Marienplatz - Burgrain - Farchant","3","005262","FFFFFF","https://efa.mvv-muenchen.de/ttb2/mvv_12324___H_s26_1.pdf","MVV_ticketing"
